NtImpersonateAnonymousToken,0x00a2,0x00a2,0x00a2,0x00a2,0x00a2,0x00a2,0x00d3,0x00d1,0x00d1,0x00d1,0x00d1,0x00d4,0x00d4,0x00d4,0x00d4,0x00e6,0x00e9,0x00e6,0x00e9,0x00ed,0x00ee,0x00f0,0x00f3,0x00f4,0x00f5,0x00f6,0x00f7,0x00f7,0x00fc,0x00fc
NtImpersonateClientOfPort,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001c,0x001d,0x001e,0x001d,0x001e,0x001f,0x001f,0x001f,0x001f,0x001f,0x001f,0x001f,0x001f,0x001f,0x001f,0x001f
NtImpersonateThread,0x00a3,0x00a3,0x00a3,0x00a3,0x00a3,0x00a3,0x00d4,0x00d2,0x00d2,0x00d2,0x00d2,0x00d5,0x00d5,0x00d5,0x00d5,0x00e7,0x00ea,0x00e7,0x00ea,0x00ee,0x00ef,0x00f1,0x00f4,0x00f5,0x00f6,0x00f7,0x00f8,0x00f8,0x00fd,0x00fd
NtInitializeEnclave,,,,,,,,,,,,,,,,,,,,,0x00f0,0x00f2,0x00f5,0x00f6,0x00f7,0x00f8,0x00f9,0x00f9,0x00fe,0x00fe
NtInitializeNlsFiles,,,,,,,0x00d5,0x00d3,0x00d3,0x00d3,0x00d3,0x00d6,0x00d6,0x00d6,0x00d6,0x00e8,0x00eb,0x00e8,0x00eb,0x00ef,0x00f1,0x00f3,0x00f6,0x00f7,0x00f8,0x00f9,0x00fa,0x00fa,0x00ff,0x00ff
NtInitializeRegistry,0x00a4,0x00a4,0x00a4,0x00a4,0x00a4,0x00a4,0x00d6,0x00d4,0x00d4,0x00d4,0x00d4,0x00d7,0x00d7,0x00d7,0x00d7,0x00e9,0x00ec,0x00e9,0x00ec,0x00f0,0x00f2,0x00f4,0x00f7,0x00f8,0x00f9,0x00fa,0x00fb,0x00fb,0x0100,0x0100
NtInitiatePowerAction,0x00a5,0x00a5,0x00a5,0x00a5,0x00a5,0x00a5,0x00d7,0x00d5,0x00d5,0x00d5,0x00d5,0x00d8,0x00d8,0x00d8,0x00d8,0x00ea,0x00ed,0x00ea,0x00ed,0x00f1,0x00f3,0x00f5,0x00f8,0x00f9,0x00fa,0x00fb,0x00fc,0x00fc,0x0101,0x0101
NtIsProcessInJob,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004c,0x004d,0x004e,0x004d,0x004e,0x004f,0x004f,0x004f,0x004f,0x004f,0x004f,0x004f,0x004f,0x004f,0x004f,0x004f
NtIsSystemResumeAutomatic,0x00a6,0x00a6,0x00a6,0x00a6,0x00a6,0x00a6,0x00d8,0x00d6,0x00d6,0x00d6,0x00d6,0x00d9,0x00d9,0x00d9,0x00d9,0x00eb,0x00ee,0x00eb,0x00ee,0x00f2,0x00f4,0x00f6,0x00f9,0x00fa,0x00fb,0x00fc,0x00fd,0x00fd,0x0102,0x0102
NtIsUILanguageComitted,,,,,,,0x00d9,0x00d7,0x00d7,0x00d7,0x00d7,0x00da,0x00da,0x00da,0x00da,0x00ec,0x00ef,0x00ec,0x00ef,0x00f3,0x00f5,0x00f7,0x00fa,0x00fb,0x00fc,0x00fd,0x00fe,0x00fe,0x0103,0x0103
NtListTransactions,,,,,,,0x00da,,,,,,,,,,,,,,,,,,,,,,,
NtListenPort,0x00a7,0x00a7,0x00a7,0x00a7,0x00a7,0x00a7,0x00db,0x00d8,0x00d8,0x00d8,0x00d8,0x00db,0x00db,0x00db,0x00db,0x00ed,0x00f0,0x00ed,0x00f0,0x00f4,0x00f6,0x00f8,0x00fb,0x00fc,0x00fd,0x00fe,0x00ff,0x00ff,0x0104,0x0104
NtLoadDriver,0x00a8,0x00a8,0x00a8,0x00a8,0x00a8,0x00a8,0x00dc,0x00d9,0x00d9,0x00d9,0x00d9,0x00dc,0x00dc,0x00dc,0x00dc,0x00ee,0x00f1,0x00ee,0x00f1,0x00f5,0x00f7,0x00f9,0x00fc,0x00fd,0x00fe,0x00ff,0x0100,0x0100,0x0105,0x0105
NtLoadEnclaveData,,,,,,,,,,,,,,,,,,,,,0x00f8,0x00fa,0x00fd,0x00fe,0x00ff,0x0100,0x0101,0x0101,0x0106,0x0106
NtLoadHotPatch,,,,,,,,,,,,,,,,,,,,,,,0x00fe,0x00ff,0x0100,,,,,
NtLoadKey,0x00a9,0x00a9,0x00a9,0x00a9,0x00a9,0x00a9,0x00dd,0x00da,0x00da,0x00da,0x00da,0x00dd,0x00dd,0x00dd,0x00dd,0x00ef,0x00f2,0x00ef,0x00f2,0x00f6,0x00f9,0x00fb,0x00ff,0x0100,0x0101,0x0101,0x0102,0x0102,0x0107,0x0107
NtLoadKey2,0x00aa,0x00aa,0x00aa,0x00aa,0x00aa,0x00aa,0x00de,0x00db,0x00db,0x00db,0x00db,0x00de,0x00de,0x00de,0x00de,0x00f0,0x00f3,0x00f0,0x00f3,0x00f7,0x00fa,0x00fc,0x0100,0x0101,0x0102,0x0102,0x0103,0x0103,0x0108,0x0108
NtLoadKey3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x01d6,0x01d6
NtLoadKeyEx,0x00ab,0x00ab,0x00ab,0x00ab,0x00ab,0x00ab,0x00df,0x00dc,0x00dc,0x00dc,0x00dc,0x00df,0x00df,0x00df,0x00df,0x00f1,0x00f4,0x00f1,0x00f4,0x00f8,0x00fb,0x00fd,0x0101,0x0102,0x0103,0x0103,0x0104,0x0104,0x0109,0x0109
NtLockFile,0x00ac,0x00ac,0x00ac,0x00ac,0x00ac,0x00ac,0x00e0,0x00dd,0x00dd,0x00dd,0x00dd,0x00e0,0x00e0,0x00e0,0x00e0,0x00f2,0x00f5,0x00f2,0x00f5,0x00f9,0x00fc,0x00fe,0x0102,0x0103,0x0104,0x0104,0x0105,0x0105,0x010a,0x010a
NtLockProductActivationKeys,0x00ad,0x00ad,0x00ad,0x00ad,0x00ad,0x00ad,0x00e1,0x00de,0x00de,0x00de,0x00de,0x00e1,0x00e1,0x00e1,0x00e1,0x00f3,0x00f6,0x00f3,0x00f6,0x00fa,0x00fd,0x00ff,0x0103,0x0104,0x0105,0x0105,0x0106,0x0106,0x010b,0x010b
NtLockRegistryKey,0x00ae,0x00ae,0x00ae,0x00ae,0x00ae,0x00ae,0x00e2,0x00df,0x00df,0x00df,0x00df,0x00e2,0x00e2,0x00e2,0x00e2,0x00f4,0x00f7,0x00f4,0x00f7,0x00fb,0x00fe,0x0100,0x0104,0x0105,0x0106,0x0106,0x0107,0x0107,0x010c,0x010c
NtLockVirtualMemory,0x00af,0x00af,0x00af,0x00af,0x00af,0x00af,0x00e3,0x00e0,0x00e0,0x00e0,0x00e0,0x00e3,0x00e3,0x00e3,0x00e3,0x00f5,0x00f8,0x00f5,0x00f8,0x00fc,0x00ff,0x0101,0x0105,0x0106,0x0107,0x0107,0x0108,0x0108,0x010d,0x010d
NtMakePermanentObject,0x00b0,0x00b0,0x00b0,0x00b0,0x00b0,0x00b0,0x00e4,0x00e1,0x00e1,0x00e1,0x00e1,0x00e4,0x00e4,0x00e4,0x00e4,0x00f6,0x00f9,0x00f6,0x00f9,0x00fd,0x0100,0x0102,0x0106,0x0107,0x0108,0x0108,0x0109,0x0109,0x010e,0x010e
NtMakeTemporaryObject,0x00b1,0x00b1,0x00b1,0x00b1,0x00b1,0x00b1,0x00e5,0x00e2,0x00e2,0x00e2,0x00e2,0x00e5,0x00e5,0x00e5,0x00e5,0x00f7,0x00fa,0x00f7,0x00fa,0x00fe,0x0101,0x0103,0x0107,0x0108,0x0109,0x0109,0x010a,0x010a,0x010f,0x010f
NtManageHotPatch,,,,,,,,,,,,,,,,,,,,,,,,,,0x010a,0x010b,0x010b,0x0110,0x0110
NtManagePartition,,,,,,,,,,,,,,,,,,,,0x00ff,0x0102,0x0104,0x0108,0x0109,0x010a,0x010b,0x010c,0x010c,0x0111,0x0111
NtMapCMFModule,,,,,,,0x00e6,0x00e3,0x00e3,0x00e3,0x00e3,0x00e6,0x00e6,0x00e6,0x00e6,0x00f8,0x00fb,0x00f8,0x00fb,0x0100,0x0103,0x0105,0x0109,0x010a,0x010b,0x010c,0x010d,0x010d,0x0112,0x0112
NtMapUserPhysicalPages,0x00b2,0x00b2,0x00b2,0x00b2,0x00b2,0x00b2,0x00e7,0x00e4,0x00e4,0x00e4,0x00e4,0x00e7,0x00e7,0x00e7,0x00e7,0x00f9,0x00fc,0x00f9,0x00fc,0x0101,0x0104,0x0106,0x010a,0x010b,0x010c,0x010d,0x010e,0x010e,0x0113,0x0113
NtMapUserPhysicalPagesScatter,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0001,0x0002,0x0001,0x0002,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003
NtMapViewOfSection,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0025,0x0026,0x0027,0x0026,0x0027,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028,0x0028
NtMapViewOfSectionEx,,,,,,,,,,,,,,,,,,,,,,,,,0x010d,0x010e,0x010f,0x010f,0x0114,0x0114
NtMarshallTransaction,,,,,,,0x00e8,,,,,,,,,,,,,,,,,,,,,,,
NtModifyBootEntry,0x00b3,0x00b3,0x00b3,0x00b3,0x00b3,0x00b3,0x00e9,0x00e5,0x00e5,0x00e5,0x00e5,0x00e8,0x00e8,0x00e8,0x00e8,0x00fa,0x00fd,0x00fa,0x00fd,0x0102,0x0105,0x0107,0x010b,0x010c,0x010e,0x010f,0x0110,0x0110,0x0115,0x0115
NtModifyDriverEntry,0x00b4,0x00b4,0x00b4,0x00b4,0x00b4,0x00b4,0x00ea,0x00e6,0x00e6,0x00e6,0x00e6,0x00e9,0x00e9,0x00e9,0x00e9,0x00fb,0x00fe,0x00fb,0x00fe,0x0103,0x0106,0x0108,0x010c,0x010d,0x010f,0x0110,0x0111,0x0111,0x0116,0x0116
NtNotifyChangeDirectoryFile,0x00b5,0x00b5,0x00b5,0x00b5,0x00b5,0x00b5,0x00eb,0x00e7,0x00e7,0x00e7,0x00e7,0x00ea,0x00ea,0x00ea,0x00ea,0x00fc,0x00ff,0x00fc,0x00ff,0x0104,0x0107,0x0109,0x010d,0x010e,0x0110,0x0111,0x0112,0x0112,0x0117,0x0117
NtNotifyChangeDirectoryFileEx,,,,,,,,,,,,,,,,,,,,,,,,0x010f,0x0111,0x0112,0x0113,0x0113,0x0118,0x0118
NtNotifyChangeKey,0x00b6,0x00b6,0x00b6,0x00b6,0x00b6,0x00b6,0x00ec,0x00e8,0x00e8,0x00e8,0x00e8,0x00eb,0x00eb,0x00eb,0x00eb,0x00fd,0x0100,0x00fd,0x0100,0x0105,0x0108,0x010a,0x010e,0x0110,0x0112,0x0113,0x0114,0x0114,0x0119,0x0119
NtNotifyChangeMultipleKeys,0x00b7,0x00b7,0x00b7,0x00b7,0x00b7,0x00b7,0x00ed,0x00e9,0x00e9,0x00e9,0x00e9,0x00ec,0x00ec,0x00ec,0x00ec,0x00fe,0x0101,0x00fe,0x0101,0x0106,0x0109,0x010b,0x010f,0x0111,0x0113,0x0114,0x0115,0x0115,0x011a,0x011a
NtNotifyChangeSession,,,,,,,,,,,,0x00ed,0x00ed,0x00ed,0x00ed,0x00ff,0x0102,0x00ff,0x0102,0x0107,0x010a,0x010c,0x0110,0x0112,0x0114,0x0115,0x0116,0x0116,0x011b,0x011b
NtOpenDirectoryObject,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0055,0x0056,0x0057,0x0056,0x0057,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058,0x0058
NtOpenEnlistment,,,,,,,0x00ee,0x00ea,0x00ea,0x00ea,0x00ea,0x00ee,0x00ee,0x00ee,0x00ee,0x0100,0x0103,0x0100,0x0103,0x0108,0x010b,0x010d,0x0111,0x0113,0x0115,0x0116,0x0117,0x0117,0x011c,0x011c
NtOpenEvent,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003e,0x003f,0x003e,0x003f,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040,0x0040
NtOpenEventPair,0x00b8,0x00b8,0x00b8,0x00b8,0x00b8,0x00b8,0x00ef,0x00eb,0x00eb,0x00eb,0x00eb,0x00ef,0x00ef,0x00ef,0x00ef,0x0101,0x0104,0x0101,0x0104,0x0109,0x010c,0x010e,0x0112,0x0114,0x0116,0x0117,0x0118,0x0118,0x011d,0x011d
NtOpenFile,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0031,0x0032,0x0031,0x0032,0x0033,0x0033,0x0033,0x0033,0x0033,0x0033,0x0033,0x0033,0x0033,0x0033,0x0033
NtOpenIoCompletion,0x00b9,0x00b9,0x00b9,0x00b9,0x00b9,0x00b9,0x00f0,0x00ec,0x00ec,0x00ec,0x00ec,0x00f0,0x00f0,0x00f0,0x00f0,0x0102,0x0105,0x0102,0x0105,0x010a,0x010d,0x010f,0x0113,0x0115,0x0117,0x0118,0x0119,0x0119,0x011e,0x011e
NtOpenJobObject,0x00ba,0x00ba,0x00ba,0x00ba,0x00ba,0x00ba,0x00f1,0x00ed,0x00ed,0x00ed,0x00ed,0x00f1,0x00f1,0x00f1,0x00f1,0x0103,0x0106,0x0103,0x0106,0x010b,0x010e,0x0110,0x0114,0x0116,0x0118,0x0119,0x011a,0x011a,0x011f,0x011f
NtOpenKey,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x000f,0x0010,0x0011,0x0010,0x0011,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012
NtOpenKeyEx,,,,,,,,,,,,0x00f2,0x00f2,0x00f2,0x00f2,0x0104,0x0107,0x0104,0x0107,0x010c,0x010f,0x0111,0x0115,0x0117,0x0119,0x011a,0x011b,0x011b,0x0120,0x0120
NtOpenKeyTransacted,,,,,,,0x00f2,0x00ee,0x00ee,0x00ee,0x00ee,0x00f3,0x00f3,0x00f3,0x00f3,0x0105,0x0108,0x0105,0x0108,0x010d,0x0110,0x0112,0x0116,0x0118,0x011a,0x011b,0x011c,0x011c,0x0121,0x0121
NtOpenKeyTransactedEx,,,,,,,,,,,,0x00f4,0x00f4,0x00f4,0x00f4,0x0106,0x0109,0x0106,0x0109,0x010e,0x0111,0x0113,0x0117,0x0119,0x011b,0x011c,0x011d,0x011d,0x0122,0x0122
NtOpenKeyedEvent,0x00bb,0x00bb,0x00bb,0x00bb,0x00bb,0x00bb,0x00f3,0x00ef,0x00ef,0x00ef,0x00ef,0x00f5,0x00f5,0x00f5,0x00f5,0x0107,0x010a,0x0107,0x010a,0x010f,0x0112,0x0114,0x0118,0x011a,0x011c,0x011d,0x011e,0x011e,0x0123,0x0123
NtOpenMutant,0x00bc,0x00bc,0x00bc,0x00bc,0x00bc,0x00bc,0x00f4,0x00f0,0x00f0,0x00f0,0x00f0,0x00f6,0x00f6,0x00f6,0x00f6,0x0108,0x010b,0x0108,0x010b,0x0110,0x0113,0x0115,0x0119,0x011b,0x011d,0x011e,0x011f,0x011f,0x0124,0x0124
NtOpenObjectAuditAlarm,0x00bd,0x00bd,0x00bd,0x00bd,0x00bd,0x00bd,0x00f5,0x00f1,0x00f1,0x00f1,0x00f1,0x00f7,0x00f7,0x00f7,0x00f7,0x0109,0x010c,0x0109,0x010c,0x0111,0x0114,0x0116,0x011a,0x011c,0x011e,0x011f,0x0120,0x0120,0x0125,0x0125
NtOpenPartition,,,,,,,,,,,,,,,,,,,,0x0112,0x0115,0x0117,0x011b,0x011d,0x011f,0x0120,0x0121,0x0121,0x0126,0x0126
NtOpenPrivateNamespace,,,,,,,0x00f6,0x00f2,0x00f2,0x00f2,0x00f2,0x00f8,0x00f8,0x00f8,0x00f8,0x010a,0x010d,0x010a,0x010d,0x0113,0x0116,0x0118,0x011c,0x011e,0x0120,0x0121,0x0122,0x0122,0x0127,0x0127
NtOpenProcess,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0023,0x0024,0x0025,0x0024,0x0025,0x0026,0x0026,0x0026,0x0026,0x0026,0x0026,0x0026,0x0026,0x0026,0x0026,0x0026
NtOpenProcessToken,0x00be,0x00be,0x00be,0x00be,0x00be,0x00be,0x00f7,0x00f3,0x00f3,0x00f3,0x00f3,0x00f9,0x00f9,0x00f9,0x00f9,0x010b,0x010e,0x010b,0x010e,0x0114,0x0117,0x0119,0x011d,0x011f,0x0121,0x0122,0x0123,0x0123,0x0128,0x0128
NtOpenProcessTokenEx,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002d,0x002e,0x002f,0x002e,0x002f,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030,0x0030
NtOpenRegistryTransaction,,,,,,,,,,,,,,,,,,,,,,0x011a,0x011e,0x0120,0x0122,0x0123,0x0124,0x0124,0x0129,0x0129
NtOpenResourceManager,,,,,,,0x00f8,0x00f4,0x00f4,0x00f4,0x00f4,0x00fa,0x00fa,0x00fa,0x00fa,0x010c,0x010f,0x010c,0x010f,0x0115,0x0118,0x011b,0x011f,0x0121,0x0123,0x0124,0x0125,0x0125,0x012a,0x012a
NtOpenSection,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0034,0x0035,0x0036,0x0035,0x0036,0x0037,0x0037,0x0037,0x0037,0x0037,0x0037,0x0037,0x0037,0x0037,0x0037,0x0037
NtOpenSemaphore,0x00bf,0x00bf,0x00bf,0x00bf,0x00bf,0x00bf,0x00f9,0x00f5,0x00f5,0x00f5,0x00f5,0x00fb,0x00fb,0x00fb,0x00fb,0x010d,0x0110,0x010d,0x0110,0x0116,0x0119,0x011c,0x0120,0x0122,0x0124,0x0125,0x0126,0x0126,0x012b,0x012b
NtOpenSession,,,,,,,0x00fa,0x00f6,0x00f6,0x00f6,0x00f6,0x00fc,0x00fc,0x00fc,0x00fc,0x010e,0x0111,0x010e,0x0111,0x0117,0x011a,0x011d,0x0121,0x0123,0x0125,0x0126,0x0127,0x0127,0x012c,0x012c
NtOpenSymbolicLinkObject,0x00c0,0x00c0,0x00c0,0x00c0,0x00c0,0x00c0,0x00fb,0x00f7,0x00f7,0x00f7,0x00f7,0x00fd,0x00fd,0x00fd,0x00fd,0x010f,0x0112,0x010f,0x0112,0x0118,0x011b,0x011e,0x0122,0x0124,0x0126,0x0127,0x0128,0x0128,0x012d,0x012d
NtOpenThread,0x00c1,0x00c1,0x00c1,0x00c1,0x00c1,0x00c1,0x00fc,0x00f8,0x00f8,0x00f8,0x00f8,0x00fe,0x00fe,0x00fe,0x00fe,0x0110,0x0113,0x0110,0x0113,0x0119,0x011c,0x011f,0x0123,0x0125,0x0127,0x0128,0x0129,0x0129,0x012e,0x012e
NtOpenThreadToken,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0021,0x0022,0x0023,0x0022,0x0023,0x0024,0x0024,0x0024,0x0024,0x0024,0x0024,0x0024,0x0024,0x0024,0x0024,0x0024
NtOpenThreadTokenEx,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002c,0x002d,0x002e,0x002d,0x002e,0x002f,0x002f,0x002f,0x002f,0x002f,0x002f,0x002f,0x002f,0x002f,0x002f,0x002f
NtOpenTimer,0x00c2,0x00c2,0x00c2,0x00c2,0x00c2,0x00c2,0x00fd,0x00f9,0x00f9,0x00f9,0x00f9,0x00ff,0x00ff,0x00ff,0x00ff,0x0111,0x0114,0x0111,0x0114,0x011a,0x011d,0x0120,0x0124,0x0126,0x0128,0x0129,0x012a,0x012a,0x012f,0x012f
NtOpenTransaction,,,,,,,0x00fe,0x00fa,0x00fa,0x00fa,0x00fa,0x0100,0x0100,0x0100,0x0100,0x0112,0x0115,0x0112,0x0115,0x011b,0x011e,0x0121,0x0125,0x0127,0x0129,0x012a,0x012b,0x012b,0x0130,0x0130
NtOpenTransactionManager,,,,,,,0x00ff,0x00fb,0x00fb,0x00fb,0x00fb,0x0101,0x0101,0x0101,0x0101,0x0113,0x0116,0x0113,0x0116,0x011c,0x011f,0x0122,0x0126,0x0128,0x012a,0x012b,0x012c,0x012c,0x0131,0x0131
NtPlugPlayControl,0x00c3,0x00c3,0x00c3,0x00c3,0x00c3,0x00c3,0x0100,0x00fc,0x00fc,0x00fc,0x00fc,0x0102,0x0102,0x0102,0x0102,0x0114,0x0117,0x0114,0x0117,0x011d,0x0120,0x0123,0x0127,0x0129,0x012b,0x012c,0x012d,0x012d,0x0132,0x0132
NtPowerInformation,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005c,0x005d,0x005e,0x005d,0x005e,0x005f,0x005f,0x005f,0x005f,0x005f,0x005f,0x005f,0x005f,0x005f,0x005f,0x005f
NtPrePrepareComplete,,,,,,,0x0101,0x00fd,0x00fd,0x00fd,0x00fd,0x0103,0x0103,0x0103,0x0103,0x0115,0x0118,0x0115,0x0118,0x011e,0x0121,0x0124,0x0128,0x012a,0x012c,0x012d,0x012e,0x012e,0x0133,0x0133
NtPrePrepareEnlistment,,,,,,,0x0102,0x00fe,0x00fe,0x00fe,0x00fe,0x0104,0x0104,0x0104,0x0104,0x0116,0x0119,0x0116,0x0119,0x011f,0x0122,0x0125,0x0129,0x012b,0x012d,0x012e,0x012f,0x012f,0x0134,0x0134
NtPrepareComplete,,,,,,,0x0103,0x00ff,0x00ff,0x00ff,0x00ff,0x0105,0x0105,0x0105,0x0105,0x0117,0x011a,0x0117,0x011a,0x0120,0x0123,0x0126,0x012a,0x012c,0x012e,0x012f,0x0130,0x0130,0x0135,0x0135
NtPrepareEnlistment,,,,,,,0x0104,0x0100,0x0100,0x0100,0x0100,0x0106,0x0106,0x0106,0x0106,0x0118,0x011b,0x0118,0x011b,0x0121,0x0124,0x0127,0x012b,0x012d,0x012f,0x0130,0x0131,0x0131,0x0136,0x0136
NtPrivilegeCheck,0x00c4,0x00c4,0x00c4,0x00c4,0x00c4,0x00c4,0x0105,0x0101,0x0101,0x0101,0x0101,0x0107,0x0107,0x0107,0x0107,0x0119,0x011c,0x0119,0x011c,0x0122,0x0125,0x0128,0x012c,0x012e,0x0130,0x0131,0x0132,0x0132,0x0137,0x0137
NtPrivilegeObjectAuditAlarm,0x00c5,0x00c5,0x00c5,0x00c5,0x00c5,0x00c5,0x0106,0x0102,0x0102,0x0102,0x0102,0x0108,0x0108,0x0108,0x0108,0x011a,0x011d,0x011a,0x011d,0x0123,0x0126,0x0129,0x012d,0x012f,0x0131,0x0132,0x0133,0x0133,0x0138,0x0138
NtPrivilegedServiceAuditAlarm,0x00c6,0x00c6,0x00c6,0x00c6,0x00c6,0x00c6,0x0107,0x0103,0x0103,0x0103,0x0103,0x0109,0x0109,0x0109,0x0109,0x011b,0x011e,0x011b,0x011e,0x0124,0x0127,0x012a,0x012e,0x0130,0x0132,0x0133,0x0134,0x0134,0x0139,0x0139
NtPropagationComplete,,,,,,,0x0108,0x0104,0x0104,0x0104,0x0104,0x010a,0x010a,0x010a,0x010a,0x011c,0x011f,0x011c,0x011f,0x0125,0x0128,0x012b,0x012f,0x0131,0x0133,0x0134,0x0135,0x0135,0x013a,0x013a
NtPropagationFailed,,,,,,,0x0109,0x0105,0x0105,0x0105,0x0105,0x010b,0x010b,0x010b,0x010b,0x011d,0x0120,0x011d,0x0120,0x0126,0x0129,0x012c,0x0130,0x0132,0x0134,0x0135,0x0136,0x0136,0x013b,0x013b
NtProtectVirtualMemory,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004d,0x004e,0x004f,0x004e,0x004f,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050,0x0050
NtPssCaptureVaSpaceBulk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x013c,0x013c
NtPullTransaction,,,,,,,0x010a,,,,,,,,,,,,,,,,,,,,,,,
NtPulseEvent,0x00c7,0x00c7,0x00c7,0x00c7,0x00c7,0x00c7,0x010b,0x0106,0x0106,0x0106,0x0106,0x010c,0x010c,0x010c,0x010c,0x011e,0x0121,0x011e,0x0121,0x0127,0x012a,0x012d,0x0131,0x0133,0x0135,0x0136,0x0137,0x0137,0x013d,0x013d
NtQueryAttributesFile,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003a,0x003b,0x003c,0x003b,0x003c,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d,0x003d
NtQueryAuxiliaryCounterFrequency,,,,,,,,,,,,,,,,,,,,,,,0x0132,0x0134,0x0136,0x0137,0x0138,0x0138,0x013e,0x013e
NtQueryBootEntryOrder,0x00c8,0x00c8,0x00c8,0x00c8,0x00c8,0x00c8,0x010c,0x0107,0x0107,0x0107,0x0107,0x010d,0x010d,0x010d,0x010d,0x011f,0x0122,0x011f,0x0122,0x0128,0x012b,0x012e,0x0133,0x0135,0x0137,0x0138,0x0139,0x0139,0x013f,0x013f
NtQueryBootOptions,0x00c9,0x00c9,0x00c9,0x00c9,0x00c9,0x00c9,0x010d,0x0108,0x0108,0x0108,0x0108,0x010e,0x010e,0x010e,0x010e,0x0120,0x0123,0x0120,0x0123,0x0129,0x012c,0x012f,0x0134,0x0136,0x0138,0x0139,0x013a,0x013a,0x0140,0x0140
NtQueryDebugFilterState,0x00ca,0x00ca,0x00ca,0x00ca,0x00ca,0x00ca,0x010e,0x0109,0x0109,0x0109,0x0109,0x010f,0x010f,0x010f,0x010f,0x0121,0x0124,0x0121,0x0124,0x012a,0x012d,0x0130,0x0135,0x0137,0x0139,0x013a,0x013b,0x013b,0x0141,0x0141
NtQueryDefaultLocale,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0012,0x0013,0x0014,0x0013,0x0014,0x0015,0x0015,0x0015,0x0015,0x0015,0x0015,0x0015,0x0015,0x0015,0x0015,0x0015
NtQueryDefaultUILanguage,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0042,0x0043,0x0042,0x0043,0x0044,0x0044,0x0044,0x0044,0x0044,0x0044,0x0044,0x0044,0x0044,0x0044,0x0044
